dataset_name,query,taxonomy_level,scientific_name,common_name,taxonomy_string,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies,variety
WCS Camera Traps,muntiacus muntjak,species,muntiacus muntjak,southern red muntjac,"[(42186, 'species', 'muntiacus muntjak', ['southern red muntjac']), (42185, 'genus', 'muntiacus', ['muntjacs']), (846353, 'tribe', 'muntiacini', ['muntjacs and tufted deer']), (846198, 'subfamily', 'cervinae', ['old world deer']), (42158, 'family', 'cervidae', ['deer']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,cervinae,muntiacini,muntiacus,,muntiacus muntjak,,
WCS Camera Traps,nasua narica,species,nasua narica,white-nosed coati,"[(41673, 'species', 'nasua narica', ['white-nosed coati']), (41669, 'genus', 'nasua', ['lowland coatis']), (41660, 'family', 'procyonidae', ['raccoons, coatis, and allies']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,procyonidae,,,nasua,,nasua narica,,
WCS Camera Traps,odocoileus virginianus,species,odocoileus virginianus,white-tailed deer,"[(42223, 'species', 'odocoileus virginianus', ['white-tailed deer']), (42219, 'genus', 'odocoileus', ['white-tailed and mule deer']), (846324, 'tribe', 'odocoileini', ['true new world deer and caribou']), (846185, 'subfamily', 'capreolinae', ['new world deer']), (42158, 'family', 'cervidae', ['deer']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,odocoileus virginianus,,
WCS Camera Traps,pan troglodytes,species,pan troglodytes,chimpanzee,"[(43577, 'species', 'pan troglodytes', ['chimpanzee']), (43576, 'genus', 'pan', ['chimpanzees']), (846252, 'subfamily', 'homininae', []), (43575, 'family', 'hominidae', ['great apes']), (1036675, 'superfamily', 'hominoidea', ['apes']), (936369, 'parvorder', 'catarrhini', ['apes and old world monkeys']), (936377, 'infraorder', 'simiiformes', ['monkeys and apes']), (786045, 'suborder', 'haplorhini', ['monkeys, apes, and tarsiers']), (43367, 'order', 'primates', ['primates']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,primates,haplorhini,simiiformes,hominoidea,hominidae,homininae,,pan,,pan troglodytes,,
WCS Camera Traps,panthera onca,species,panthera onca,jaguar,"[(41970, 'species', 'panthera onca', ['jaguar']), (41962, 'genus', 'panthera', ['roaring cats']), (846273, 'subfamily', 'pantherinae', ['big cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,pantherinae,,panthera,,panthera onca,,
WCS Camera Traps,papio anubis,species,papio anubis,olive baboon,"[(74832, 'species', 'papio anubis', ['olive baboon']), (43534, 'genus', 'papio', ['baboons']), (846334, 'tribe', 'papionini', ['baboons, macaques, and mangabeys']), (479424, 'subfamily', 'cercopithecinae', ['cercopithecines']), (43443, 'family', 'cercopithecidae', ['old world monkeys']), (936369, 'parvorder', 'catarrhini', ['apes and old world monkeys']), (936377, 'infraorder', 'simiiformes', ['monkeys and apes']), (786045, 'suborder', 'haplorhini', ['monkeys, apes, and tarsiers']), (43367, 'order', 'primates', ['primates']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,primates,haplorhini,simiiformes,,cercopithecidae,cercopithecinae,papionini,papio,,papio anubis,,
WCS Camera Traps,pecari tajacu,species,pecari tajacu,collared peccary,"[(42113, 'species', 'pecari tajacu', ['collared peccary']), (42112, 'genus', 'pecari', []), (42111, 'family', 'tayassuidae', ['peccaries']), (848343, 'suborder', 'suina', ['swines and peccaries']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,suina,,,tayassuidae,,,pecari,,pecari tajacu,,
WCS Camera Traps,penelope purpurascens,species,penelope purpurascens,crested guan,"[(2062, 'species', 'penelope purpurascens', ['crested guan']), (2059, 'genus', 'penelope', ['typical guans']), (2043, 'family', 'cracidae', ['guans, chachalacas, and curassows']), (573, 'order', 'galliformes', ['landfowl']), (3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,galliformes,,,,cracidae,,,penelope,,penelope purpurascens,,
WCS Camera Traps,peromyscus sp,genus,peromyscus,deermice,"[(44349, 'genus', 'peromyscus', ['north american deer mice']), (325775, 'tribe', 'reithrodontomyini', ['harvest and deer mice']), (325776, 'subfamily', 'neotominae', ['north american mice and rats']), (55986, 'family', 'cricetidae', ['hamsters, voles, lemmings, and allies']), (488924, 'superfamily', 'muroidea', ['muroids']), (870778, 'suborder', 'myomorpha', ['mice, rats, and hamsters']), (43698, 'order', 'rodentia', ['rodents']), (848323, 'superorder', 'euarchontoglires', ['primates, rodents, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,euarchontoglires,rodentia,myomorpha,,muroidea,cricetidae,neotominae,reithrodontomyini,peromyscus,,,,
WCS Camera Traps,phacochoerus africanus,species,phacochoerus africanus,common warthog,"[(42122, 'species', 'phacochoerus africanus', ['common warthog']), (42121, 'genus', 'phacochoerus', ['warthogs']), (1365632, 'tribe', 'phacochoerini', []), (1365630, 'subfamily', 'suinae', []), (42118, 'family', 'suidae', ['suids']), (848343, 'suborder', 'suina', ['swines and peccaries']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,suina,,,suidae,suinae,phacochoerini,phacochoerus,,phacochoerus africanus,,
